Country,Meteor Mass,GDP
Germany,1950.8285,3477796274496.8
Algeria,2358.7133,159049096745.249
United Arab Emirates,2581.0,348743265704.561
France,2669.782,2465453975282.24
South Africa,3704.123,295456189492.005
Morocco,3965.2057,103606321692.582
Chile,6375.347,247027912574.35
Oman,6689.5615,66293368010.4031
Tanzania,16013.9847,47340071107.343
Brazil,19226.212,1796186586414.45
Russian Federation,32004.2729,1283162985989.3
Australia,51546.6502,1204616439828.41
Argentina,54053.8643,545476103427.247
China,55057.1268,11199145157649.2
Canada,59577.4644,1529760492201.35
Mexico,72321.1922,1046922702460.87
Namibia,86357.4233,10947880690.471
United States,90875.8333,18624475000000.0
